cohort_19_in,number_in_ss_cohort,region,la_code_9,la_code_3,la_name,gender,fsm,sen,l2_by19,l2_with_em_by19,l3_by19,l2_em_by16,l2_em_by19_belowat16,l2_by19_rate,l2_with_em_by19_rate,l3_by19_rate,l2_em_by19_belowat16_rate
2005,5572,South West,E06000052,908,Cornwall,ALL,ALL,ALL,3952,2607,2391,2391,274,70.92605887,46.78750897,42.91098349,8.613643508
2005,4998,South West,E06000052,908,Cornwall,ALL,Not eligible for FSM,ALL,3672,2481,2264,2272,259,73.46938776,49.63985594,45.29811925,9.501100514
2005,574,South West,E06000052,908,Cornwall,ALL,Eligible for FSM,ALL,280,126,127,119,15,48.7804878,21.95121951,22.12543554,3.296703297
2005,2715,South West,E06000052,908,Cornwall,Female,ALL,ALL,2122,1397,1338,1304,107,78.15837937,51.45488029,49.28176796,7.583274274
2005,2857,South West,E06000052,908,Cornwall,Male,ALL,ALL,1830,1210,1053,1087,167,64.05320266,42.35211761,36.85684284,9.435028249
2005,23,South West,E06000053,420,Isles of Scilly,ALL,ALL,ALL,20,14,15,13,1,86.95652174,60.86956522,65.2173913,10
2005,22,South West,E06000053,420,Isles of Scilly,ALL,Not eligible for FSM,ALL,19,14,14,13,1,86.36363636,63.63636364,63.63636364,11.11111111
2005,1,South West,E06000053,420,Isles of Scilly,ALL,Eligible for FSM,ALL,1,0,1,0,0,100,0,100,0
2005,10,South West,E06000053,420,Isles of Scilly,Female,ALL,ALL,10,8,8,7,1,100,80,80,33.33333333
2005,13,South West,E06000053,420,Isles of Scilly,Male,ALL,ALL,10,6,7,6,0,76.92307692,46.15384615,53.84615385,0
2005,4576,South West,E06000054,865,Wiltshire,ALL,ALL,ALL,3281,2403,2202,2189,265,71.70017483,52.51311189,48.12062937,11.10180142
2005,4329,South West,E06000054,865,Wiltshire,ALL,Not eligible for FSM,ALL,3190,2369,2168,2159,258,73.68907369,54.72395472,50.08085008,11.88940092
2005,247,South West,E06000054,865,Wiltshire,ALL,Eligible for FSM,ALL,91,34,34,30,7,36.84210526,13.76518219,13.76518219,3.225806452
