cohort_19_in,number_in_ss_cohort,region,la_code_9,la_code_3,la_name,fsm,value,category
2021,14092,East of England,E10000012,881,Essex,ALL,81.27306273,l2
2021,12422,East of England,E10000015,919,Hertfordshire,ALL,87.44968604,l2
2021,7562,East of England,E10000020,926,Norfolk,ALL,79.56889712,l2
2021,6828,East of England,E10000029,935,Suffolk,ALL,82.29349736,l2
2021,2249,London,E09000002,301,Barking and Dagenham,ALL,81.41396176,l2
2021,3788,London,E09000003,302,Barnet,ALL,89.30834213,l2
2021,3045,London,E09000004,303,Bexley,ALL,83.25123153,l2
2021,2981,London,E09000005,304,Brent,ALL,86.68232137,l2
2021,3150,London,E09000006,305,Bromley,ALL,86.79365079,l2
2021,1562,London,E09000007,202,Camden,ALL,85.53137004,l2
2021,3443,London,E09000008,306,Croydon,ALL,83.82224804,l2
2021,2917,London,E09000009,307,Ealing,ALL,87.7613987,l2
2021,3460,London,E09000010,308,Enfield,ALL,82.77456647,l2
2021,2308,London,E09000011,203,Greenwich,ALL,78.24956672,l2
2021,2064,London,E09000012,204,Hackney,ALL,87.83914729,l2
2021,1316,London,E09000013,205,Hammersmith and Fulham,ALL,85.41033435,l2
2021,2243,London,E09000014,309,Haringey,ALL,82.03299153,l2
2021,2083,London,E09000015,310,Harrow,ALL,90.11041767,l2
2021,2792,London,E09000016,311,Havering,ALL,82.59312321,l2
2021,3128,London,E09000017,312,Hillingdon,ALL,85.51790281,l2
2021,2607,London,E09000018,313,Hounslow,ALL,88.72266974,l2
2021,1426,London,E09000019,206,Islington,ALL,84.57223001,l2
2021,721,London,E09000020,207,Kensington and Chelsea,ALL,89.73647712,l2
2021,1537,London,E09000021,314,Kingston upon Thames,ALL,89.91541965,l2
2021,2151,London,E09000022,208,Lambeth,ALL,81.0320781,l2
2021,2126,London,E09000023,209,Lewisham,ALL,83.8664158,l2
2021,1425,London,E09000024,315,Merton,ALL,86.38596491,l2
2021,3809,London,E09000025,316,Newham,ALL,86.05933316,l2
2021,3445,London,E09000026,317,Redbridge,ALL,89.0275762,l2
2021,1313,North East,E06000002,806,Middlesbrough,ALL,76.38994669,l2
2021,1521,North East,E06000003,807,Redcar and Cleveland,ALL,77.71203156,l2
2021,1938,North East,E06000004,808,Stockton-on-Tees,ALL,81.73374613,l2
2021,1100,North East,E06000005,841,Darlington,ALL,82.09090909,l2
2021,4568,North East,E06000047,840,County Durham,ALL,80.23204904,l2
2021,3050,North East,E06000057,929,Northumberland,ALL,80.52459016,l2
2021,2479,North East,E08000021,391,Newcastle upon Tyne,ALL,73.86042759,l2
2021,1900,North East,E08000022,392,North Tyneside,ALL,81.78947368,l2
2021,1436,North East,E08000023,393,South Tyneside,ALL,80.22284123,l2
2021,2616,North East,E08000024,394,Sunderland,ALL,79.09021407,l2
2021,1892,North East,E08000037,390,Gateshead,ALL,79.96828753,l2
2021,5976,Yorkshire and the Humber,E10000023,815,North Yorkshire,ALL,84.70548862,l2
2021,12261,West Midlands,E08000025,330,Birmingham,ALL,80.89062882,l2
2021,3364,West Midlands,E08000026,331,Coventry,ALL,76.81331748,l2
2021,3293,West Midlands,E08000027,332,Dudley,ALL,79.31976921,l2
2021,3651,West Midlands,E08000028,333,Sandwell,ALL,76.77348672,l2
2021,2920,West Midlands,E08000029,334,Solihull,ALL,83.56164384,l2
2021,3012,West Midlands,E08000030,335,Walsall,ALL,74.93359894,l2
2021,2905,West Midlands,E08000031,336,Wolverhampton,ALL,78.45094664,l2
2021,8348,West Midlands,E10000028,860,Staffordshire,ALL,80.71394346,l2
2021,5528,West Midlands,E10000031,937,Warwickshire,ALL,83.19464544,l2
2021,5326,West Midlands,E10000034,885,Worcestershire,ALL,81.24295907,l2
2021,2252,Yorkshire and the Humber,E06000010,810,"Kingston Upon Hull, City of",ALL,77.57548845,l2
2021,3164,Yorkshire and the Humber,E06000011,811,East Riding of Yorkshire,ALL,85.84070796,l2
2021,1418,Yorkshire and the Humber,E06000012,812,North East Lincolnshire,ALL,80.32440056,l2
2021,1651,Yorkshire and the Humber,E06000013,813,North Lincolnshire,ALL,79.64869776,l2
2021,1613,Yorkshire and the Humber,E06000014,816,York,ALL,84.37693738,l2
2021,2019,Yorkshire and the Humber,E08000016,370,Barnsley,ALL,74.5418524,l2
2021,2922,Yorkshire and the Humber,E08000017,371,Doncaster,ALL,74.02464066,l2
2021,3159,Yorkshire and the Humber,E08000018,372,Rotherham,ALL,77.04969927,l2
2021,5048,Yorkshire and the Humber,E08000019,373,Sheffield,ALL,75.23771791,l2
2021,5992,Yorkshire and the Humber,E08000032,380,Bradford,ALL,74.21562083,l2
2021,2430,Yorkshire and the Humber,E08000033,381,Calderdale,ALL,82.79835391,l2
2021,4518,Yorkshire and the Humber,E08000034,382,Kirklees,ALL,82.3373174,l2
2021,7501,Yorkshire and the Humber,E08000035,383,Leeds,ALL,76.93640848,l2
2021,3416,Yorkshire and the Humber,E08000036,384,Wakefield,ALL,76.63934426,l2
2021,2101,South West,E06000024,802,North Somerset,ALL,87.24416944,l2
2021,2513,South West,E06000025,803,South Gloucestershire,ALL,81.2574612,l2
2021,2506,South West,E06000026,879,Plymouth,ALL,82.4820431,l2
2021,1353,South West,E06000027,880,Torbay,ALL,78.5661493,l2
2021,2052,South West,E06000030,866,Swindon,ALL,77.77777778,l2
2021,5131,South West,E06000052,908,Cornwall,ALL,81.36815436,l2
2021,15,South West,E06000053,420,Isles of Scilly,ALL,93.33333333,l2
2021,4662,South West,E06000054,865,Wiltshire,ALL,84.25568426,l2
2021,3441,South West,E06000058,839,"Bournemouth, Christchurch and Poole",ALL,83.31880267,l2
2021,3436,South West,E06000059,838,Dorset,ALL,83.20721769,l2
2021,6609,South West,E10000008,878,Devon,ALL,81.94885762,l2
2021,6016,South West,E10000013,916,Gloucestershire,ALL,83.99268617,l2
2021,4616,South West,E10000027,933,Somerset,ALL,80.78422877,l2
2021,1647,West Midlands,E06000019,884,Herefordshire,ALL,83.91013965,l2
2021,1939,West Midlands,E06000020,894,Telford and Wrekin,ALL,77.97833935,l2
2021,2169,West Midlands,E06000021,861,Stoke-on-Trent,ALL,74.04333794,l2
2021,2864,West Midlands,E06000051,893,Shropshire,ALL,83.90363128,l2
2021,1478,London,E09000027,318,Richmond upon Thames,ALL,87.00947226,l2
2021,2423,London,E09000028,210,Southwark,ALL,86.38052002,l2
2021,2538,London,E09000029,319,Sutton,ALL,90.78014184,l2
2021,2657,London,E09000030,211,Tower Hamlets,ALL,84.2679714,l2
2021,2622,London,E09000031,320,Waltham Forest,ALL,87.14721587,l2
2021,1748,London,E09000032,212,Wandsworth,ALL,84.26773455,l2
