cohort_19_in,number_in_ss_cohort,region,la_code_9,la_code_3,la_name,fsm,sen,category,value
2021,7562,East of England,E10000020,926,Norfolk,ALL,ALL,l2,79.56889712
2021,6406,East of England,E10000020,926,Norfolk,ALL,No SEN,l2,84.45207618
2021,336,East of England,E10000020,926,Norfolk,ALL,SEN with statements or EHC plans,l2,30.95238095
2021,820,East of England,E10000020,926,Norfolk,ALL,SEN without statements or EHC plans,l2,61.34146341
2021,6702,East of England,E10000020,926,Norfolk,Not eligible for FSM,ALL,l2,82.42315727
2021,860,East of England,E10000020,926,Norfolk,Eligible for FSM,ALL,l2,57.3255814
2021,6828,East of England,E10000029,935,Suffolk,ALL,ALL,l2,82.29349736
2021,5986,East of England,E10000029,935,Suffolk,ALL,No SEN,l2,86.06749081
2021,221,East of England,E10000029,935,Suffolk,ALL,SEN with statements or EHC plans,l2,30.31674208
2021,621,East of England,E10000029,935,Suffolk,ALL,SEN without statements or EHC plans,l2,64.41223833
2021,6174,East of England,E10000029,935,Suffolk,Not eligible for FSM,ALL,l2,84.38613541
2021,654,East of England,E10000029,935,Suffolk,Eligible for FSM,ALL,l2,62.5382263
2021,2249,London,E09000002,301,Barking and Dagenham,ALL,ALL,l2,81.41396176
2021,2011,London,E09000002,301,Barking and Dagenham,ALL,No SEN,l2,84.98259572
2021,63,London,E09000002,301,Barking and Dagenham,ALL,SEN with statements or EHC plans,l2,19.04761905
2021,175,London,E09000002,301,Barking and Dagenham,ALL,SEN without statements or EHC plans,l2,62.85714286
2021,1880,London,E09000002,301,Barking and Dagenham,Not eligible for FSM,ALL,l2,83.56382979
2021,369,London,E09000002,301,Barking and Dagenham,Eligible for FSM,ALL,l2,70.46070461
2021,3788,London,E09000003,302,Barnet,ALL,ALL,l2,89.30834213
2021,3311,London,E09000003,302,Barnet,ALL,No SEN,l2,92.99305346
2021,139,London,E09000003,302,Barnet,ALL,SEN with statements or EHC plans,l2,43.16546763
2021,338,London,E09000003,302,Barnet,ALL,SEN without statements or EHC plans,l2,72.18934911
2021,3295,London,E09000003,302,Barnet,Not eligible for FSM,ALL,l2,91.19878604
2021,493,London,E09000003,302,Barnet,Eligible for FSM,ALL,l2,76.67342799
2021,3045,London,E09000004,303,Bexley,ALL,ALL,l2,83.25123153
2021,2607,London,E09000004,303,Bexley,ALL,No SEN,l2,87.68699655
2021,88,London,E09000004,303,Bexley,ALL,SEN with statements or EHC plans,l2,36.36363636
2021,350,London,E09000004,303,Bexley,ALL,SEN without statements or EHC plans,l2,62
2021,2748,London,E09000004,303,Bexley,Not eligible for FSM,ALL,l2,85.51673945
2021,297,London,E09000004,303,Bexley,Eligible for FSM,ALL,l2,62.28956229
2021,2981,London,E09000005,304,Brent,ALL,ALL,l2,86.68232137
2021,2638,London,E09000005,304,Brent,ALL,No SEN,l2,89.80288097
2021,103,London,E09000005,304,Brent,ALL,SEN with statements or EHC plans,l2,42.7184466
2021,240,London,E09000005,304,Brent,ALL,SEN without statements or EHC plans,l2,71.25
2021,2635,London,E09000005,304,Brent,Not eligible for FSM,ALL,l2,87.96963947
2021,346,London,E09000005,304,Brent,Eligible for FSM,ALL,l2,76.87861272
2021,3150,London,E09000006,305,Bromley,ALL,ALL,l2,86.79365079
2021,2679,London,E09000006,305,Bromley,ALL,No SEN,l2,91.3027249
2021,123,London,E09000006,305,Bromley,ALL,SEN with statements or EHC plans,l2,31.70731707
2021,348,London,E09000006,305,Bromley,ALL,SEN without statements or EHC plans,l2,71.55172414
2021,2927,London,E09000006,305,Bromley,Not eligible for FSM,ALL,l2,88.58899898
2021,223,London,E09000006,305,Bromley,Eligible for FSM,ALL,l2,63.22869955
2021,1562,London,E09000007,202,Camden,ALL,ALL,l2,85.53137004
2021,1346,London,E09000007,202,Camden,ALL,No SEN,l2,89.45022288
2021,76,London,E09000007,202,Camden,ALL,SEN with statements or EHC plans,l2,36.84210526
2021,140,London,E09000007,202,Camden,ALL,SEN without statements or EHC plans,l2,74.28571429
2021,1156,London,E09000007,202,Camden,Not eligible for FSM,ALL,l2,88.66782007
2021,406,London,E09000007,202,Camden,Eligible for FSM,ALL,l2,76.60098522
2021,3443,London,E09000008,306,Croydon,ALL,ALL,l2,83.82224804
2021,2937,London,E09000008,306,Croydon,ALL,No SEN,l2,88.11712632
2021,132,London,E09000008,306,Croydon,ALL,SEN with statements or EHC plans,l2,37.12121212
2021,374,London,E09000008,306,Croydon,ALL,SEN without statements or EHC plans,l2,66.57754011
2021,2871,London,E09000008,306,Croydon,Not eligible for FSM,ALL,l2,86.34622083
2021,572,London,E09000008,306,Croydon,Eligible for FSM,ALL,l2,71.15384615
2021,2917,London,E09000009,307,Ealing,ALL,ALL,l2,87.7613987
2021,2432,London,E09000009,307,Ealing,ALL,No SEN,l2,92.14638158
2021,99,London,E09000009,307,Ealing,ALL,SEN with statements or EHC plans,l2,29.29292929
2021,386,London,E09000009,307,Ealing,ALL,SEN without statements or EHC plans,l2,75.12953368
2021,2496,London,E09000009,307,Ealing,Not eligible for FSM,ALL,l2,89.58333333
2021,421,London,E09000009,307,Ealing,Eligible for FSM,ALL,l2,76.95961995
2021,3460,London,E09000010,308,Enfield,ALL,ALL,l2,82.77456647
2021,3010,London,E09000010,308,Enfield,ALL,No SEN,l2,86.84385382
2021,93,London,E09000010,308,Enfield,ALL,SEN with statements or EHC plans,l2,25.80645161
2021,357,London,E09000010,308,Enfield,ALL,SEN without statements or EHC plans,l2,63.30532213
2021,2898,London,E09000010,308,Enfield,Not eligible for FSM,ALL,l2,84.92063492
