cohort_19_in,number_in_ss_cohort,region,la_code_9,la_code_3,la_name,fsm,sen,category,value
2022,1566,London,E09000021,314,Kingston upon Thames,ALL,ALL,Level 2,90.03831418
2022,1417,London,E09000021,314,Kingston upon Thames,ALL,No SEN,Level 2,93.36626676
2022,59,London,E09000021,314,Kingston upon Thames,ALL,SEN with statements or EHC plans,Level 2,40.6779661
2022,90,London,E09000021,314,Kingston upon Thames,ALL,SEN without statements or EHC plans,Level 2,70
2022,1457,London,E09000021,314,Kingston upon Thames,Not eligible for FSM,ALL,Level 2,91.8325326
2022,109,London,E09000021,314,Kingston upon Thames,Eligible for FSM,ALL,Level 2,66.05504587
2022,2234,London,E09000022,208,Lambeth,ALL,ALL,Level 2,81.5129812
2022,1840,London,E09000022,208,Lambeth,ALL,No SEN,Level 2,86.63043478
2022,123,London,E09000022,208,Lambeth,ALL,SEN with statements or EHC plans,Level 2,32.5203252
2022,271,London,E09000022,208,Lambeth,ALL,SEN without statements or EHC plans,Level 2,69.00369004
2022,1652,London,E09000022,208,Lambeth,Not eligible for FSM,ALL,Level 2,83.95883777
2022,582,London,E09000022,208,Lambeth,Eligible for FSM,ALL,Level 2,74.57044674
2022,2194,London,E09000023,209,Lewisham,ALL,ALL,Level 2,83.45487694
2022,1857,London,E09000023,209,Lewisham,ALL,No SEN,Level 2,87.56058158
2022,93,London,E09000023,209,Lewisham,ALL,SEN with statements or EHC plans,Level 2,27.95698925
2022,244,London,E09000023,209,Lewisham,ALL,SEN without statements or EHC plans,Level 2,73.36065574
2022,1722,London,E09000023,209,Lewisham,Not eligible for FSM,ALL,Level 2,86.75958188
2022,472,London,E09000023,209,Lewisham,Eligible for FSM,ALL,Level 2,71.39830508
2022,1476,London,E09000024,315,Merton,ALL,ALL,Level 2,87.33062331
2022,1209,London,E09000024,315,Merton,ALL,No SEN,Level 2,92.22497932
2022,80,London,E09000024,315,Merton,ALL,SEN with statements or EHC plans,Level 2,43.75
2022,187,London,E09000024,315,Merton,ALL,SEN without statements or EHC plans,Level 2,74.3315508
2022,1227,London,E09000024,315,Merton,Not eligible for FSM,ALL,Level 2,89.81255094
2022,249,London,E09000024,315,Merton,Eligible for FSM,ALL,Level 2,75.10040161
2022,3992,London,E09000025,316,Newham,ALL,ALL,Level 2,87.4749499
2022,3458,London,E09000025,316,Newham,ALL,No SEN,Level 2,91.38230191
2022,51,London,E09000025,316,Newham,ALL,SEN with statements or EHC plans,Level 2,17.64705882
2022,483,London,E09000025,316,Newham,ALL,SEN without statements or EHC plans,Level 2,66.873706
2022,3154,London,E09000025,316,Newham,Not eligible for FSM,ALL,Level 2,89.09321497
2022,838,London,E09000025,316,Newham,Eligible for FSM,ALL,Level 2,81.38424821
2022,3750,London,E09000026,317,Redbridge,ALL,ALL,Level 2,89.09333333
2022,3256,London,E09000026,317,Redbridge,ALL,No SEN,Level 2,91.92260442
