cohort_19_in,number_in_ss_cohort,region,la_code_9,la_code_3,la_name,gender,fsm,sen,l2_by19,l2_with_em_by19,l3_by19,l2_em_by16,l2_em_by19_belowat16,l2_by19_rate,l2_with_em_by19_rate,l3_by19_rate,l2_em_by19_belowat16_rate
2005,31700,a.North East,ALL,ALL,ALL,a.ALL,a.ALL,a.ALL,20660,13090,11970,11390,2050,65.17460017,41.27630043,37.74644333,10.07335926
2005,16110,a.North East,ALL,ALL,ALL,b.Male,a.ALL,a.ALL,9840,6250,5450,5230,1250,61.08040981,38.81403291,33.85904998,11.4984822
2005,15600,a.North East,ALL,ALL,ALL,c.Female,a.ALL,a.ALL,10820,6830,6510,6160,800,69.40241087,43.81892793,41.76070787,8.43220339
2005,25930,a.North East,ALL,ALL,ALL,a.ALL,b.Not eligible for FSM,a.ALL,18360,12170,11120,10680,1790,70.77581553,46.91910234,42.86265135,11.71921085
2005,5770,a.North East,ALL,ALL,ALL,a.ALL,c.Eligible for FSM,a.ALL,2310,920,850,710,260,39.98612797,15.90081498,14.73903243,5.104867432
2005,1237,a.North East,E06000001,805,Hartlepool,a.ALL,a.ALL,a.ALL,803,477,459,396,93,64.91511722,38.56103476,37.10590137,11.05826397
2005,624,a.North East,E06000001,805,Hartlepool,b.Male,a.ALL,a.ALL,382,229,203,185,52,61.21794872,36.69871795,32.53205128,11.84510251
2005,613,a.North East,E06000001,805,Hartlepool,c.Female,a.ALL,a.ALL,421,248,256,211,41,68.67862969,40.45676998,41.76182708,10.19900498
2005,957,a.North East,E06000001,805,Hartlepool,a.ALL,b.Not eligible for FSM,a.ALL,680,423,405,358,76,71.0553814,44.20062696,42.31974922,12.68781302
2005,280,a.North East,E06000001,805,Hartlepool,a.ALL,c.Eligible for FSM,a.ALL,123,54,54,38,17,43.92857143,19.28571429,19.28571429,7.024793388
2005,1923,a.North East,E06000002,806,Middlesbrough,a.ALL,a.ALL,a.ALL,1137,621,584,554,92,59.12636505,32.29329173,30.36921477,6.720233747
2005,971,a.North East,E06000002,806,Middlesbrough,b.Male,a.ALL,a.ALL,515,293,255,259,54,53.03810505,30.17507724,26.26158599,7.584269663
2005,952,a.North East,E06000002,806,Middlesbrough,c.Female,a.ALL,a.ALL,622,328,329,295,38,65.33613445,34.45378151,34.55882353,5.783866058
2005,1309,a.North East,E06000002,806,Middlesbrough,a.ALL,b.Not eligible for FSM,a.ALL,883,532,489,478,74,67.45607334,40.64171123,37.35676089,8.904933815
2005,614,a.North East,E06000002,806,Middlesbrough,a.ALL,c.Eligible for FSM,a.ALL,254,89,95,76,18,41.36807818,14.49511401,15.4723127,3.345724907
2005,2067,a.North East,E06000003,807,Redcar and Cleveland,a.ALL,a.ALL,a.ALL,1442,917,823,796,145,69.76294146,44.36381229,39.81615868,11.40833989
2005,1044,a.North East,E06000003,807,Redcar and Cleveland,b.Male,a.ALL,a.ALL,689,450,377,374,92,65.99616858,43.10344828,36.11111111,13.73134328
2005,1023,a.North East,E06000003,807,Redcar and Cleveland,c.Female,a.ALL,a.ALL,753,467,446,422,53,73.60703812,45.65004888,43.59726295,8.818635607
2005,1634,a.North East,E06000003,807,Redcar and Cleveland,a.ALL,b.Not eligible for FSM,a.ALL,1244,847,755,739,128,76.13219094,51.83598531,46.20563035,14.30167598
2005,433,a.North East,E06000003,807,Redcar and Cleveland,a.ALL,c.Eligible for FSM,a.ALL,198,70,68,57,17,45.72748268,16.16628176,15.70438799,4.521276596
2005,2461,a.North East,E06000004,808,Stockton-on-Tees,a.ALL,a.ALL,a.ALL,1677,1126,1012,929,223,68.14303129,45.75375863,41.12149533,14.55613577
2005,1250,a.North East,E06000004,808,Stockton-on-Tees,b.Male,a.ALL,a.ALL,801,542,459,424,135,64.08,43.36,36.72,16.34382567
2005,1211,a.North East,E06000004,808,Stockton-on-Tees,c.Female,a.ALL,a.ALL,876,584,553,505,88,72.33691164,48.22460776,45.66473988,12.46458924
2005,1997,a.North East,E06000004,808,Stockton-on-Tees,a.ALL,b.Not eligible for FSM,a.ALL,1486,1043,937,871,193,74.41161743,52.22834251,46.92038057,17.14031972
2005,464,a.North East,E06000004,808,Stockton-on-Tees,a.ALL,c.Eligible for FSM,a.ALL,191,83,75,58,30,41.1637931,17.88793103,16.1637931,7.389162562
2005,1116,a.North East,E06000005,841,Darlington,a.ALL,a.ALL,a.ALL,746,542,484,457,98,66.84587814,48.56630824,43.36917563,14.87101669
2005,536,a.North East,E06000005,841,Darlington,b.Male,a.ALL,a.ALL,327,235,211,191,55,61.00746269,43.84328358,39.36567164,15.94202899
2005,580,a.North East,E06000005,841,Darlington,c.Female,a.ALL,a.ALL,419,307,273,266,43,72.24137931,52.93103448,47.06896552,13.69426752
2005,973,a.North East,E06000005,841,Darlington,a.ALL,b.Not eligible for FSM,a.ALL,689,511,458,434,89,70.81192189,52.51798561,47.0709147,16.51205937
2005,143,a.North East,E06000005,841,Darlington,a.ALL,c.Eligible for FSM,a.ALL,57,31,26,23,9,39.86013986,21.67832168,18.18181818,7.5
2005,5851,a.North East,E06000047,840,Durham,a.ALL,a.ALL,a.ALL,3760,2254,2170,1929,404,64.26251923,38.52332935,37.08767732,10.3008669
2005,3054,a.North East,E06000047,840,Durham,b.Male,a.ALL,a.ALL,1819,1106,1009,919,243,59.56123117,36.21480026,33.03863785,11.38173302
2005,2797,a.North East,E06000047,840,Durham,c.Female,a.ALL,a.ALL,1941,1148,1161,1010,161,69.39578119,41.04397569,41.50875939,9.009513151
2005,4824,a.North East,E06000047,840,Durham,a.ALL,b.Not eligible for FSM,a.ALL,3392,2124,2058,1831,366,70.31509121,44.02985075,42.66169154,12.22853324
2005,1027,a.North East,E06000047,840,Durham,a.ALL,c.Eligible for FSM,a.ALL,368,130,112,98,38,35.83252191,12.65822785,10.90555015,4.090419806
2005,3832,a.North East,E06000048,929,Northumberland,a.ALL,a.ALL,a.ALL,2715,1864,1700,1707,204,70.85073069,48.64300626,44.36325678,9.6
2005,1932,a.North East,E06000048,929,Northumberland,b.Male,a.ALL,a.ALL,1310,889,767,780,139,67.80538302,46.01449275,39.69979296,12.06597222
2005,1900,a.North East,E06000048,929,Northumberland,c.Female,a.ALL,a.ALL,1405,975,933,927,65,73.94736842,51.31578947,49.10526316,6.68036999
2005,3410,a.North East,E06000048,929,Northumberland,a.ALL,b.Not eligible for FSM,a.ALL,2538,1793,1633,1653,182,74.42815249,52.58064516,47.88856305,10.35856574
2005,422,a.North East,E06000048,929,Northumberland,a.ALL,c.Eligible for FSM,a.ALL,177,71,67,54,22,41.94312796,16.82464455,15.87677725,5.97826087
2005,2299,a.North East,E08000020,390,Gateshead,a.ALL,a.ALL,a.ALL,1587,998,936,916,100,69.03001305,43.41017834,40.71335363,7.23065799
2005,1160,a.North East,E08000020,390,Gateshead,b.Male,a.ALL,a.ALL,758,462,415,405,65,65.34482759,39.82758621,35.77586207,8.609271523
2005,1139,a.North East,E08000020,390,Gateshead,c.Female,a.ALL,a.ALL,829,536,521,511,35,72.78314311,47.05882353,45.74187884,5.573248408
2005,1859,a.North East,E08000020,390,Gateshead,a.ALL,b.Not eligible for FSM,a.ALL,1393,918,856,847,85,74.93275955,49.38138784,46.04626143,8.399209486
2005,440,a.North East,E08000020,390,Gateshead,a.ALL,c.Eligible for FSM,a.ALL,194,80,80,69,15,44.09090909,18.18181818,18.18181818,4.043126685
2005,2780,a.North East,E08000021,391,Newcastle upon Tyne,a.ALL,a.ALL,a.ALL,1647,980,874,873,137,59.24460432,35.25179856,31.43884892,7.184058731
2005,1438,a.North East,E08000021,391,Newcastle upon Tyne,b.Male,a.ALL,a.ALL,804,496,419,436,78,55.91098748,34.49235049,29.13769124,7.784431138
2005,1342,a.North East,E08000021,391,Newcastle upon Tyne,c.Female,a.ALL,a.ALL,843,484,455,437,59,62.81669151,36.06557377,33.90461997,6.519337017
2005,2211,a.North East,E08000021,391,Newcastle upon Tyne,a.ALL,b.Not eligible for FSM,a.ALL,1442,904,802,812,114,65.21935776,40.88647671,36.27317956,8.148677627
2005,569,a.North East,E08000021,391,Newcastle upon Tyne,a.ALL,c.Eligible for FSM,a.ALL,205,76,72,61,23,36.02811951,13.35676626,12.65377856,4.527559055
2005,2204,a.North East,E08000022,392,North Tyneside,a.ALL,a.ALL,a.ALL,1424,961,838,831,151,64.60980036,43.60254083,38.02177858,10.997815
2005,1115,a.North East,E08000022,392,North Tyneside,b.Male,a.ALL,a.ALL,686,458,399,375,96,61.52466368,41.07623318,35.78475336,12.97297297
2005,1089,a.North East,E08000022,392,North Tyneside,c.Female,a.ALL,a.ALL,738,503,439,456,55,67.76859504,46.18916437,40.31221304,8.68878357
2005,1803,a.North East,E08000022,392,North Tyneside,a.ALL,b.Not eligible for FSM,a.ALL,1280,894,781,775,135,70.99278979,49.58402662,43.3166944,13.13229572
2005,401,a.North East,E08000022,392,North Tyneside,a.ALL,c.Eligible for FSM,a.ALL,144,67,57,56,16,35.91022444,16.70822943,14.21446384,4.637681159
2005,2139,a.North East,E08000023,393,South Tyneside,a.ALL,a.ALL,a.ALL,1401,861,795,758,128,65.49789621,40.25245442,37.16690042,9.268645909
2005,1046,a.North East,E08000023,393,South Tyneside,b.Male,a.ALL,a.ALL,650,386,339,323,76,62.1414914,36.90248566,32.40917782,10.51175657
2005,1093,a.North East,E08000023,393,South Tyneside,c.Female,a.ALL,a.ALL,751,475,456,435,52,68.70997255,43.45837145,41.7200366,7.902735562
2005,1730,a.North East,E08000023,393,South Tyneside,a.ALL,b.Not eligible for FSM,a.ALL,1221,779,727,698,104,70.57803468,45.02890173,42.02312139,10.07751938
2005,409,a.North East,E08000023,393,South Tyneside,a.ALL,c.Eligible for FSM,a.ALL,180,82,68,60,24,44.00977995,20.04889976,16.62591687,6.876790831
2005,3792,a.North East,E08000024,394,Sunderland,a.ALL,a.ALL,a.ALL,2322,1484,1291,1244,271,61.23417722,39.1350211,34.04535865,10.63579278
2005,1935,a.North East,E08000024,394,Sunderland,b.Male,a.ALL,a.ALL,1096,705,600,563,165,56.64082687,36.43410853,31.00775194,12.02623907
2005,1857,a.North East,E08000024,394,Sunderland,c.Female,a.ALL,a.ALL,1226,779,691,681,106,66.02046311,41.94938072,37.21055466,9.013605442
2005,3227,a.North East,E08000024,394,Sunderland,a.ALL,b.Not eligible for FSM,a.ALL,2107,1400,1215,1181,242,65.29284165,43.38394794,37.6510691,11.82795699
